date,title,desc,theme,month,text
2025-06-05,'언더독에서 답톡으로' K-뷰티 글로벌 시장 트렌드 주도...유럽⸳중동서도 급성장 - 팜뉴스,'언더독에서 답톡으로' K-뷰티 글로벌 시장 트렌드 주도...유럽⸳중동서도 급성장&nbsp;&nbsp;팜뉴스,화장품,2025-06,'언더독에서 답톡으로' K-뷰티 글로벌 시장 트렌드 주도...유럽⸳중동서도 급성장 - 팜뉴스 '언더독에서 답톡으로' K-뷰티 글로벌 시장 트렌드 주도...유럽⸳중동서도 급성장&nbsp;&nbsp;팜뉴스
2025-06-29,제대 후 월급 75만원으로 시작…400억 잭팟 터트린 비결은 [윤현주의 主食이 주식] - 한국경제,제대 후 월급 75만원으로 시작…400억 잭팟 터트린 비결은 [윤현주의 主食이 주식]&nbsp;&nbsp;한국경제,화장품,2025-06,제대 후 월급 75만원으로 시작…400억 잭팟 터트린 비결은 [윤현주의 主食이 주식] - 한국경제 제대 후 월급 75만원으로 시작…400억 잭팟 터트린 비결은 [윤현주의 主食이 주식]&nbsp;&nbsp;한국경제
2025-06-14,"'경영권 강화라기 보다는'... 파마리서치는 왜, 인적분할 했나 - 히트뉴스","'경영권 강화라기 보다는'... 파마리서치는 왜, 인적분할 했나&nbsp;&nbsp;히트뉴스",화장품,2025-06,"'경영권 강화라기 보다는'... 파마리서치는 왜, 인적분할 했나 - 히트뉴스 '경영권 강화라기 보다는'... 파마리서치는 왜, 인적분할 했나&nbsp;&nbsp;히트뉴스"
2025-06-21,'화장품계 TSMC' 한국콜마 집안싸움 점입가경…K뷰티 여파 없나 - 뉴시스,'화장품계 TSMC' 한국콜마 집안싸움 점입가경…K뷰티 여파 없나&nbsp;&nbsp;뉴시스,화장품,2025-06,'화장품계 TSMC' 한국콜마 집안싸움 점입가경…K뷰티 여파 없나 - 뉴시스 '화장품계 TSMC' 한국콜마 집안싸움 점입가경…K뷰티 여파 없나&nbsp;&nbsp;뉴시스
2025-06-13,"실리콘투, 폴란드 수출 데이터에 주가 롤러코스터 - 조선비즈 - Chosunbiz","실리콘투, 폴란드 수출 데이터에 주가 롤러코스터 - 조선비즈&nbsp;&nbsp;Chosunbiz",화장품,2025-06,"실리콘투, 폴란드 수출 데이터에 주가 롤러코스터 - 조선비즈 - Chosunbiz 실리콘투, 폴란드 수출 데이터에 주가 롤러코스터 - 조선비즈&nbsp;&nbsp;Chosunbiz"
2025-06-24,"편의점, 옷·화장품도 판다… 미니 종합 쇼핑몰로 진화 - 파이낸셜뉴스","편의점, 옷·화장품도 판다… 미니 종합 쇼핑몰로 진화&nbsp;&nbsp;파이낸셜뉴스",화장품,2025-06,"편의점, 옷·화장품도 판다… 미니 종합 쇼핑몰로 진화 - 파이낸셜뉴스 편의점, 옷·화장품도 판다… 미니 종합 쇼핑몰로 진화&nbsp;&nbsp;파이낸셜뉴스"
2025-06-29,K-뷰티 미용기기 각축전…화장품-가전 경계 허물어졌다 - 연합뉴스,K-뷰티 미용기기 각축전…화장품-가전 경계 허물어졌다&nbsp;&nbsp;연합뉴스,화장품,2025-06,K-뷰티 미용기기 각축전…화장품-가전 경계 허물어졌다 - 연합뉴스 K-뷰티 미용기기 각축전…화장품-가전 경계 허물어졌다&nbsp;&nbsp;연합뉴스
2025-06-04,"K-뷰티, 덴마크 색조화장품 시장에서 존재감 확대… 프리미엄 제품으로 도약 채비 - 팜뉴스","K-뷰티, 덴마크 색조화장품 시장에서 존재감 확대… 프리미엄 제품으로 도약 채비&nbsp;&nbsp;팜뉴스",화장품,2025-06,"K-뷰티, 덴마크 색조화장품 시장에서 존재감 확대… 프리미엄 제품으로 도약 채비 - 팜뉴스 K-뷰티, 덴마크 색조화장품 시장에서 존재감 확대… 프리미엄 제품으로 도약 채비&nbsp;&nbsp;팜뉴스"
2025-06-30,"삼성증권 ""LG생건, 인디 브랜드와 격차 심화…목표가↓"" - 연합뉴스","삼성증권 ""LG생건, 인디 브랜드와 격차 심화…목표가↓""&nbsp;&nbsp;연합뉴스",화장품,2025-06,"삼성증권 ""LG생건, 인디 브랜드와 격차 심화…목표가↓"" - 연합뉴스 삼성증권 ""LG생건, 인디 브랜드와 격차 심화…목표가↓""&nbsp;&nbsp;연합뉴스"
2025-06-18,"캐나다 색조화장품 시장, '합리적 사치'와 '스키니피케이션' 트렌드서 기회 찾아야 - 팜뉴스","캐나다 색조화장품 시장, '합리적 사치'와 '스키니피케이션' 트렌드서 기회 찾아야&nbsp;&nbsp;팜뉴스",화장품,2025-06,"캐나다 색조화장품 시장, '합리적 사치'와 '스키니피케이션' 트렌드서 기회 찾아야 - 팜뉴스 캐나다 색조화장품 시장, '합리적 사치'와 '스키니피케이션' 트렌드서 기회 찾아야&nbsp;&nbsp;팜뉴스"
